,id,name,description,address,area,beds,baths,price,Price category,town,squareFeet,lotSize,type,yearBuilt,lastRenovated,dateListed,status,Appliances,Exterior Features,furnished,basement,fireplaceFeatures,heating,laundryFeatures,parkingFeatures,sewer,waterSource,listingAgent/name,listingAgent/phoneNumber,listingAgent/email,listingAgent/linkMlsId,listingAgency/name,listingAgency/phoneNumber,listingAgency/faxNumber,listingAgency/email,location/latitude,location/longitude
0,29220,"4 Boldwater Road, Edgartown MA 02539","A private Edgartown home in the distinguished Boldwater neighborhood on Martha's Vineyard. This property is spread over 8.5 acres of pristine land and fruit trees and includes a 4 bedroom/3.5 bathroom main house and a 1 car garage. A winding drive leads from the road to the main residence which features a generous first floor plan with an open living room with a brick fireplace, dining room, and a kitchen with doors leading out to a welcoming screened porch. This home features a primary bedroom suite  and a guest bedroom suite on the first level. Two additional guest bedrooms complete second floor. The exclusive Boldwater Association offers tennis courts, a boat landing on the Edgartown Great Pond, and a private South Shore sandy Atlantic Ocean beach. The Edgartown Great Pond is great for kayaking, paddling and boating.","4 Boldwater Road, Edgartown MA 02539",South Shore,4,3.5,3950000,5,Edgartown,3552,8.54,Single Family Residence,1995,,2015-08-18T17:17:56.227Z,Active,Washer,"Cov, Association Beach, Screen Porch, Porch, Garden, Tennis Court",Unfurnished,Full unfinished basement,1 - Brick Fireplace,OFHA,,Private driveway,Septic Tank,Well,Alyssa Halisky,508-525-2584,alyssa@wallacemv.com,20969,Wallace & Co. Sotheby's,508-627-3313,508-627-9777,info@wallacemv.com,41.374911,-70.573832
1,37341,"461 State Road, Aquinnah MA 02535","Amazing opportunity to own almost 16 acres in Aquinnah, with substantial road frontage on State Road. Perfect for a family and a great project for the creative mind. Property is overgrown and deemed condemned and being sold ""as is.""","461 State Road, Aquinnah MA 02535",South,3,1.5,1200000,5,Aquinnah,1683,15.6,Single Family Residence,1930,,2020-09-25T13:22:31.393Z,Pending,,,Unfurnished,,1,None,,,Cesspool,Well,Julianna Flanders,,julie@flandersrealestate.net,20847,Flanders Real Estate,508-645-2632,508-645-3346,flanders@flandersrealestate.net,41.343176,-70.813788
2,36566,"125 Massasoit Avenue, Vineyard Haven MA 02568","One of a kind saltbox located in the heart of West Chop. Owned and loved by the same family since 1935, this home was erected on its current site in 1930 incorporating portions of an older (late 1700's) house which had been carefully dismantled and transported from Lambert's Cove to the current West Chop site. This is a wonderful opportunity for a new family to embrace a treasured home with peaks of water. This 5 bedroom, 3 bath home embodies simple summer life on Martha's Vineyard, rocking on the back porch, playing tag in the yard, or enjoying a morning or evening tide ride. Properties on ""the Loop"" rarely come on the market, this classic is not too be missed!","125 Massasoit Avenue, Vineyard Haven MA 02568",West Chop,5,3,2650000,5,Vineyard Haven,1830,0.7763,Single Family Residence,1930,,2020-04-27T15:55:36.493Z,Active,Stove,Porch,Unfurnished,No,1,None,,Ample,Septic Tank,Town,Emily Flake,774-263-3584,emily@viewpointsmv.com,42584,Viewpoints,508-693-0222,508-693-5888,info@viewpointsmv.com,41.481152,-70.603159
3,36351,"34 Beach Road, Vineyard Haven MA 02568","This harbor front commercial property is comprised of 3 separate buildings. The largest building is over 3,000 square feet and includes a large first floor office space with an apartment above. The second building is currently home to an art gallery and the third building is a separate cottage on the water. With 50 feet of frontage on the harbor and views to the Sound beyond. This is one of three commercial waterfront properties being offered individually or as a package.","34 Beach Road, Vineyard Haven MA 02568",Downtown,2,2.5,1900000,5,Vineyard Haven,3626,0.4,Commercial,1945,,2020-02-14T15:41:17.223Z,Pending,,"Private Beach, Water Views",Unfurnished,,,OFHW,,Yes,Twn,Town,Peter Cronig,508-221-8450,peter.cronig@gmail.com,21025,Cronigs Real Estate,508-693-0394,508-693-9185,peter.cronig@verizon.net,41.453674,-70.59958
4,38232,"377 State Road, West Tisbury MA 02575","Super opportunity for a viable home business with a lovely home. This is a well established business right in the heart of West Tisbury where a new owner can be their own boss and support a lifestyle that allows you to have a home and business onsite.  All of the necessary equipment and existing infrastructure is included in the asking price.  
The home is a large four bedroom home in great condition with an in-ground pool and hot tub. Well landscaped and private from the existing business. There is also a barn onsite for storage or private use.  Over 3 acres allows for a guest house of up to 1000 sq feet in West Tisbury (special permit). Really a smart package for those looking to take advantage of a life style shift or gardening enthusiasts.","377 State Road, West Tisbury MA 02575",Lambert's Cove,4,2.5,3195000,5,West Tisbury,2436,3.28,Single Family Residence,1970,2015,2021-05-17T17:06:12.627Z,Active,Washer,"Private Pool, Garden, Public Beach, Hot Tub, Patio",Unfurnished,Full basement,2,GFHA,,yes,Septic Tank,Well,Jill Hobby Napior,508-642-0831,jnapior@gmail.com,20873,Tea Lane Associates,508-696-9999,508-696-9929,office@tealaneassociates.com,41.422549,-70.662039
5,38557,"22 Paddock Road, Oak Bluffs MA 02557","THIS IS THE ONLY LOT AVAILABLE in the PRESERVE at The WOODLANDS! COMING SOON...TO BE BUILT...by SHAWN CHAPPS...UNDER EARLY STAGES OF DESIGN and STILL TIME to CUSTOMIZE with YOUR OWN PERSONAL TOUCHES! Sophisticated Sprawling Contemporary Barn Style Residence with Clean Classic Lines, Natural Timber Beams, Field Stone Fireplace and Soaring Ceilings. This Spacious Airy Open Floor Plan will have no shortage of living areas with multiple intimate gathering spaces surrounded by lots of glass that displays an unobstructed panorama of the lush landscaped backyard and 20x 40 Gunite Pool and Spa. The Decked Out Chefs Kitchen will be a fusion of modern design, rustic accents and State of the Art Appliances. Boasting 6 en suite luxury bedrooms and unmatched bathrooms, with deep soaking tubs, artistic tiled showers, custom vanities, walk-in closets, and sitting areas all designed for convenience and comfort. A generous walk-out finished basement, containing over 2000 square feet, will include additional living areas along with a custom home bar, gym/media room and or wine cellar. Other Rare feature is the ""Show Stopping Two Story Vaulted Stairway"" This Unparalleled design with exceptional visuals highlighted by exquisitely detailed finishes will be SUPER DELUXE; So Be prepared for the ""WOW FACTOR "" Don't Wait...Call Today to Secure this RARE OFFERING in the POSH PRESERVE Oak Bluffs' Newest Luxury En Clave abutting conservation land and trails for hiking, walking and biking!","22 Paddock Road, Oak Bluffs MA 02557",Central,6,6.5,4995000,5,Oak Bluffs,4500,1.867,Single Family Residence,2021,,2021-07-21T16:39:34.500Z,Pending,Stove,"Deck, Patio, Gym, Public Beach, Screen Porch, Cov",Unfurnished,Walk out finished basement with 9 Foot Ceilings,Yes Multiple Wood Burning & Gas,GFHA,,Plenty of parking peastone driveway,Septic Tank,Town,Marilyn Moses Cell 617-462-0381 ANYTIME !,617-462-0381,marilynmoses@oceanparkmv.com,20991,Ocean Park Realty Inc,508-693-4210,508-693-8992,info@leddenproperties.com,41.429411,-70.587758
6,38572,"81 Oyster Pond Road, Edgartown MA 02539","Private Oyster Pond waterfront residence on 3-acres with a private dock, manicured lawn, and beautiful gardens. This traditional 5 bedroom, 4.5 bath home boasts a unique design flooded with natural light. Incredible views of Oyster Pond can be enjoyed from the gourmet kitchen and the spacious living room featuring cathedral ceilings with exposed beams and a stone fireplace. The dining area offers access to the spacious mahogany sundeck overlooking the private heated pool and gardens. The first-floor primary bedroom includes a home office and views of Oyster Pond. The guest bedrooms and baths are on the lower level with private access to the pool area. The mudroom entryway provides convenient access to the two-car garage. A guest apartment located above the garage with a full kitchen, bath, laundry, a spacious living room and bedroom.  This thoughtfully designed space offers guests ample privacy. The expansive lawn stretches to the edge of Oyster Pond where you can enjoy clamming, kayaking, paddle boarding, swimming, and boating from your private dock. Oyster Pond residents enjoy exclusive access to the Pond and the sandy beach on the Atlantic Ocean. A truly special Martha’s Vineyard escape in one of the Island's most coveted locations.","81 Oyster Pond Road, Edgartown MA 02539",South Shore,5,4.5,7150000,5,Edgartown,4338,3,Single Family Residence,1985,2011,2021-07-26T12:55:21.630Z,Active,Washer,"Water Views, Deck, Garden, Private Pool, Private Beach, Porch",Unfurnished,,1,OFHA,,Stone circular driveway,Septic Tank,Well,Ana Paiva,508-858-9652,ana@wallacemv.com,53105,Wallace & Co. Sotheby's,508-627-3313,508-627-9777,info@wallacemv.com,41.373171,-70.596234
7,39246,"152 Main Street, Vineyard Haven MA 02568","The famed ‘1720 House’ has been welcoming guests to Vineyard Haven and Martha’s Vineyard as a private residence and B&B for generations. 
Built in 1720, it is the oldest home in Vineyard Haven, and was previously known as the Timothy Chase House when it was moved to Vineyard Haven harbor from West Tisbury in the 1800s. The property, extending from Main Street to William Street is part of the William Street Historic District.

Beautifully sited to take advantage of the morning and afternoon sun, and nicely set back from the road behind a graceful circular driveway, it is a living testimony to the island’s rich history to which the new owner can add with its own story.

A comfortably sized lot offers privacy, a garage, and a shed all within a short distance of Vineyard Haven’s shops, MV Playhouse, VH Library and ferry. Also close by are Owen Park, the town dock/harbor and public beach.

Little has changed in the home’s interior, and the character and integrity of the architecture remain intact along with its prominent, two brick chimneys. Wide, colonial-era style floorboards, gunstock posts, beamed ceilings and lattice windows create a warm atmosphere that showcases its historic pedigree.
Offering 6 Bedrooms with 4 full Bathrooms, two half baths, it’s easy to imagine the house continuing its recent role as a popular B&B or being open to updating. 
A majestic copper beech tree in the side yard, which beckoned mariners in a bygone era, still stands, providing a stately welcome to the Buyer who finds safe harbor here.","152 Main Street, Vineyard Haven MA 02568",Downtown,6,5.5,1495000,5,Vineyard Haven,2416,0.28,Single Family Residence,1720,2003,2022-02-08T21:34:46.317Z,Pending,,"Public Beach, Tennis Court, Cov, Garden, Patio, Screen Porch",Unfurnished,Cape Cod Basement,2 (need inspection),OFHW,,"Ample, Semi - circular driveway, second driveway",Septic Tank,Town,Elise Jeffress Ryan,410-258-8237,ejr2629@gmail.com,37147,Landvest MV,508-627-3757,508-627-8617,info@landvest.com,41.458065,-70.604228
8,38665,"32 Double Ox Road, Oak Bluffs MA 02557","TO BE BUILT on LOT 5 MARSHE~With wellness and resilience in mind, the 2-bedroom 2-bathroom Marshe incorporates design features and appointments for ultra-comfortable, year-round, single floor living. At the core of the Marshe floorplan is a chef’s kitchen with professional appliances and a generous island – equally suited for culinary innovations and cocktail conversations. Open living spaces transition effortlessly and include a studio space that can be employed to accommodate wellness pursuits limited only by your imagination and ambition or serve as your Zoom-base for remote check-ins with family, colleagues, and fitness trainers. The Marshe’s primary bedroom features an ensuite bathroom with dual vanities, luxurious tile, quartz surface, and Kohler fixtures throughout. Guests and family will be drawn to gather at the Marshe and will be delighted by the serene quarters that await them after a memorable day on the Island. **See Interactive Virtual Tour Attached ** Options for many extras too** Call for an appointment and private tour. Don't wait RESERVE YOUR HOME TODAY!","32 Double Ox Road, Oak Bluffs MA 02557",Lagoon/Harbor,2,2,1275000,5,Oak Bluffs,1716,0.3216,Single Family Residence,2021,,2021-08-14T10:16:20.387Z,Pending,Stove,"Public Beach, Porch",Unfurnished,Full Un-finished,0,Heat Pump,,Yes,Septic Tank,Town,Cathy Gargiulo,203-530-1008,Cathyg@oceanparkmv.com,51135,Ocean Park Realty Inc,508-693-4210,508-693-8992,info@leddenproperties.com,41.435708,-70.594224
9,38666,"2 Hopes Way, Oak Bluffs MA 02557","2 HOPES WAY  LAND OPPORTUNITY 2 BEDROOM LOT WITH FLEX ROOM approximately1931 sq ft..& BUILDING PLANS Lagoon Ridge ""Oak Bluffs Newest Neighborhood"" You can’t beat this location and setting! Perched 95 feet above the Lagoon with Colorful BIG Sky Sunsets and Salty Sea Breezes in the air. LOT 2 is one of the building sites in Cluster C (which is comprised of 13 lots and 9 are currently under contract). The buyer is responsible to secure their builder and building permit. All utilities are at the curb including water, electric and private Amphridome wastewater system. Don't Wait this is a terrific opportunity to build your ISLAND home in this PRIME Peacefully Located Popular location abutting acres of conservation land with many bike and hiking trails. Please Note Do not drive up to Lagoon Ridge without an appointment there is heavy equipment and construction activity. Call Broker for more details.","2 Hopes Way, Oak Bluffs MA 02557",Lagoon/Harbor,2,2,695000,5,Oak Bluffs,1716,0.2556,Unimproved Land,2021,,,Active,Stove,"Public Beach, Cov, Porch",Unfurnished,Full unfinished,Yes Gas Propane,Heat Pump,,Yes,Septic Tank,Town,Marilyn Moses Cell 617-462-0381 ANYTIME !,617-462-0381,marilynmoses@oceanparkmv.com,20991,Ocean Park Realty Inc,508-693-4210,508-693-8992,info@leddenproperties.com,41.434788,-70.591992
